,name,country,age,hand,BuenosAires(2019/03),Cali(2019/05),Paris(2019/05),Tokyo(2019/06),Dusseldorf(2019/06),Bamako(2019/06),Toronto(2019/06),Budapest(2019/07),SA_A,SA_B,SA_C,SA_D,SA_E,SA_F,SA_G,SA_H,SA_I,Berne(2019/11),Heidenheim(2020/01),Doha(2020/01),Vancouver(2020/02),Budapest(2020/03),total,before_Heidenheim WA,before_Vancouver WA,before_Budapest GP,in_match
1,BIDA Sergey,RUS,27.0,L,32.0,0.0,0.0,0.0,6.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,48.0,26.0,0.0,205.0,111.0,179.0,205.0,True
2,YAMADA Masaru,JPN,26.0,R,0.0,6.0,0.0,48.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,30.0,4.0,48.0,164.0,74.0,112.0,116.0,True
3,SIKLOSI Gergely,HUN,23.0,R,0.0,0.0,20.0,0.0,6.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,32.0,12.0,8.0,0.0,162.0,110.0,154.0,162.0,True
4,REIZLIN Igor,UKR,36.0,R,0.0,12.0,0.0,0.0,6.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,14.0,12.0,0.0,30.0,156.0,100.0,126.0,126.0,True
5,SANTARELLI Andrea,ITA,27.0,R,8.0,6.0,8.0,0.0,39.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,6.0,147.0,111.0,141.0,141.0,True
6,BOREL Yannick,FRA,31.0,R,0.0,0.0,0.0,0.0,12.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,12.0,14.0,39.0,140.0,61.0,87.0,101.0,True
7,VERWIJLEN Bas,NED,37.0,R,0.0,3.0,0.0,0.0,21.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,32.0,6.0,122.0,59.0,84.0,116.0,True
8,PARK Sangyoung,KOR,25.0,R,0.0,12.0,32.0,12.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,12.0,8.0,0.0,112.0,66.0,104.0,112.0,True
9,MINOBE Kazuyasu,JPN,33.0,L,14.0,48.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,21.0,111.0,78.0,82.0,90.0,True
10,LIMARDO GASCON Ruben,VEN,35.0,L,8.0,0.0,8.0,0.0,0.0,0.0,48.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,20.0,6.0,108.0,82.0,82.0,102.0,True
