,name,country,age,hand,BuenosAires(2019/03),Cali(2019/05),Paris(2019/05),Tokyo(2019/06),Dusseldorf(2019/06),Bamako(2019/06),Toronto(2019/06),Budapest(2019/07),SA_A,SA_B,SA_C,SA_D,SA_E,SA_F,SA_G,SA_H,SA_I,Berne(2019/11),Heidenheim(2020/01),Doha(2020/01),Vancouver(2020/02),Budapest(2020/03),total
1,BIDA Sergey,RUS,27,L,32,,-4,,6,,,65,,,,,,,-4,,,8,20,48,26,-6,205
2,YAMADA Masaru,JPN,26,R,-0.5,6,-0.25,48,,,,20,,,,,,,,,,-2,8,30,4,48,164
3,SIKLOSI Gergely,HUN,23,R,-1,,20,,6,,,80,,,,,,,,,,4,32,12,8,-3,162
4,REIZLIN Igor,UKR,36,R,-2,12,-4,,6,,,50,,,,,,,,,,32,14,12,-2,30,156
5,SANTARELLI Andrea,ITA,27,R,8,6,8,,39,,,50,,,,,,,,,,-2,-4,30,-2,6,147
6,BOREL Yannick,FRA,31,R,,-3,-4,,12,,,35,,,,,,,,,,14,14,12,14,39,140
7,VERWIJLEN Bas,NED,37,R,,3,-2,,21,,,35,,,,,,,,,,-2,4,21,32,6,122
8,PARK Sangyoung,KOR,25,R,,12,32,12,,,,10,,,,,,,,,,-8,26,12,8,-3,112
9,MINOBE Kazuyasu,JPN,33,L,14,48,-2,6,,,,10,,,,,,,,,,-2,4,-3,8,21,111
10,LIMARDO GASCON Ruben,VEN,35,L,8,-3,8,,,,48,10,,,,,,,,,,8,-2,-3,20,6,108
11,BARDENET Alexandre,FRA,30,R,4,-3,-2,,6,,,20,,,,,,,,,,20,4,39,8,-3,101
12,NIKISHIN Bogdan,UKR,40,R,14,-6,-4,,21,,,20,,,,,,,,,,14,-4,6,20,6,101
13,CIMINI Gabriele,ITA,26,R,26,21,-2,,6,,,5,,,,,,,,,,-2,4,-3,14,12,88
14,REDLI Andras,HUN,36,R,20,12,-0.25,,3,,,20,,,,,,,,,,-1,-2,12,14,3,84
15,KURBANOV Ruslan,KAZ,29,R,1,,1,30,,,,35,,,,,,,,,,4,-0.5,6,-0.25,6,83
16,ZAWROTNIAK Radoslaw,POL,39,L,-1,39,-0.25,,3,,,5,,,,,-1,,,,,2,20,1.5,-0.25,12,82.5
17,UYAMA Satoru,JPN,28,R,-0.5,-1.5,2,39,,,,20,,,,,,,,,,2,2,-1.5,8,3,76
18,HEINZER Max,SUI,33,R,-2,12,14,,6,,,10,,,,,,,,,,-4,-2,6,14,12,74
19,ELKORD Houssam,MAR,,,-0.5,3,1,,,48,,2.5,,,,,,,,,,14,-0.25,0,1,1.5,71
20,FREILICH Yuval Shalom,ISR,,,-0.25,3,-1,,48,,,5,,,,,,,0,,,2,2,6,-1,1.5,67.5
21,PEREIRA Yulen,ESP,25,R,8,21,14,,3,,,5,,,,,,,,,,8,-4,-3,-2,6,65
22,KANO Koki,JPN,22,R,-2,3,-2,12,,,,35,,,,,,,,,,-2,4,3,2,6,65
23,ALEXANIN Dmitriy,KAZ,28,L,-2,3,-2,21,,,,20,,0,,,,,,,,-2,8,3,2,6,63
24,MCDOWALD Curtis,USA,24,R,20,,2,,,,21,5,,,,,,,,,,-0.5,8,3,-1,1.5,60.5
25,WANG Zijie,CHN,24,R,-0.5,21,-1,21,,,,2.5,,,,,,,,,,-2,8,3,2,3,60.5
26,TULEN Tristan,NED,29,L,8,30,8,,3,,,1.25,,,-1,,,,,,-4,-4,-2,-0.375,4,6,60.25
27,GAROZZO Enrico,ITA,31,R,2,1.5,-0.5,,30,,,5,,,,,,,,,,-0.25,14,-0.75,4,0.75,57.25
28,SVICHKAR Roman,UKR,,,2,3,14,,3,,,10,,,,,,,,,,20,-1,-1.5,4,-0.375,56
29,GLAZKOV Nikita,RUS,,,2,,26,,3,,,10,,,,,,,-1,,,8,-1,3,-1,3,55
30,LAN Minghao,CHN,24,R,14,3,-0.25,21,,,,5,,,,,,,,,,2,4,3,-0.5,-1.5,52
31,ELSAGHIR Ahmed,EGY,34,R,,,0.25,,,39,,10,,,,,,,,,,0.25,2,,,,51.5
32,FICHERA Marco,ITA,,,0.5,30,4,,6,,,5,,,,,,,,,,4,0.25,,,,49.75
33,SHARLAIMOV Vadim,KAZ,23,R,0,,1,,,,,10,,,,,,,,,,-0.5,2,3,2,30,48
34,MAHRINGER Josef,AUT,23,L,4,,0,,21,,,5,,,,,,,,,0,-0.5,4,6,1,6,47
35,GUSTIN Ronan,FRA,33,R,4,6,-2,,6,,,20,,,,,,,,,,4,-1,-0.75,4,3,47
36,VUORINEN Niko,FIN,31,L,4,6,-0.25,,12,,,5,,,0,0,-2,,,,,-2,4,3,-2,12,46
37,LIMARDO Jesus,VEN,,,0.5,1.5,0.25,,,,39,2.5,,,,,,,,,,0,0,,0.5,0.75,45
